time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
400.707,0,0,427.1548,-337.1583,-3243.892,186.5807,-465.6002,560.6857,0.0,0.0
401.005,0,0,427.6428,-333.7423,-3173.892,137.6289,-465.6002,560.6857,0.0,0.0
401.335,0.5378229,0.3153865,443.7468,-288.8463,-26133.89,446.3918,-467.4045,561.2979,-0.002649391,0.001204324
401.62,0.5078396,0.5904798,434.9628,-322.5183,-40553.89,202.2509,-472.4633,564.1012,-0.004091705,0.002246456
401.933,0.4939385,0.7370593,375.9148,-424.9983,16426.11,413.6598,-479.7776,571.1577,-0.005290975,0.006413404
402.214,0.5526149,0.7477858,407.1468,-305.4383,46596.11,304.8625,-486.3508,580.8241,-0.005848063,0.008892127
402.475,0.5950178,0.6983629,430.0828,-372.7823,39596.11,18.43643,-493.0529,590.9417,-0.00440322,0.006324697
402.74,0.569942,0.7605741,411.5388,-173.1903,30986.11,17.13058,-500.5927,601.317,-0.004640303,0.006400402
403.045,0.5091832,1.032747,373.4748,-385.4703,44776.11,60.92783,-509.3891,613.7866,-0.004796631,0.006955262
403.332,0.5252543,1.039329,375.9148,-363.9983,82786.11,68.47079,-517.4445,627.6741,-0.004793293,0.008787579
403.615,0.6822169,0.8856652,360.2988,-280.5503,79706.11,54.0378,-525.9187,642.9471,-0.00526885,0.009180944
403.901,0.7966025,0.7518561,436.4268,-398.1583,27136.11,11.35739,-536.2941,657.9623,-0.006382155,0.008057255
404.162,0.8046474,0.746193,446.6748,-386.9343,-933.8923,11.70103,-547.3138,669.852,-0.007015777,0.007015625
404.43,0.8046474,0.746193,473.0268,-401.0863,-16543.89,13.0756,-559.1713,681.5484,-0.007170344,0.006931293
404.741,0.8046474,0.746193,344.6828,-340.0863,7046.107,14.12371,-572.8976,694.8881,-0.006846344,0.006925967
405.004,0.838596,0.8028887,467.1708,-381.0783,-4643.893,16.16838,-584.304,706.2944,-0.007080762,0.006921318
405.285,0.8391663,0.8166463,469.6108,-370.3423,-13743.89,16.16838,-597.2249,719.1187,-0.009858454,0.009620056
405.558,0.6061454,1.478566,370.5468,-351.7983,19506.11,61.6323,-609.9845,732.2972,-0.00746825,0.008739495
405.862,0.4202547,1.807113,336.3868,-265.9103,75436.11,69.48454,-621.552,748.5691,-0.00555714,0.009129964
406.172,0.4215233,1.854365,293.9308,-466.4783,106656.1,60.63574,-630.3485,765.4854,-0.004521902,0.009123146
