time,left effort,right effort,x accel,y accel,z gyro,y head,y tail
19311,0,0,-0.5872097,-3.584924,19.61539,192,106
19544,0,0,-0.5872097,-4.072924,89.61539,192,106
19747,0,0,-2.53921,-4.072924,-50.38461,214,106
19949,0,0,-0.5872097,-3.584924,-50.38461,208,106
20152,0,0,-1.56321,-4.072924,19.61539,208,106
20388,0,0,-2.05121,-6.512924,-50.38461,194,106
20609,0,0,-0.5872097,-3.584924,-50.38461,194,106
20841,0.1516848,0.2527902,-0.09920979,-3.584924,19.61539,192,106
21045,0.3222517,0.380315,28.20479,13.98308,3029.615,106,86
21255,0.2999306,0.491271,3.316791,-4.560925,14299.62,212,102
21463,0.2227623,0.7257102,54.55679,40.33508,32779.62,100,74
21704,0.2141659,0.7474993,-13.27521,50.58308,57629.62,90,34
21946,0.2682373,0.7925171,60.90079,19.83908,74569.62,88,18
22174,0.4674887,0.4527287,44.30879,-49.45692,64489.62,92,0
22378,0.9064417,0.3805703,23.81279,19.83908,1839.615,96,0
22580,1.257955,0.5531219,-48.41121,-55.31293,-26230.38,238,144
22784,1.257955,0.5531219,49.18879,-37.74493,-29380.38,NA,NA
23021,1.35232,0.6159284,20.39679,53.99908,-45620.38,NA,NA
23225,1.35232,0.6159284,-5.95521,-16.76093,-51430.38,48,28
23455,1.26189,0.5698305,-50.85121,34.96708,-59620.38,206,0
23682,0.9947108,0.4480643,43.33279,40.82307,-47230.38,160,130
23900,0.3656375,0.771552,-46.45921,-20.17693,4009.615,NA,NA
24105,0.1754957,0.7300428,-98.18721,-68.00092,51399.62,178,96
24346,0.06491393,0.9217978,-6.44321,-83.61692,67639.62,238,90
24588,-0.005532503,1.086273,20.39679,-88.00893,31379.62,238,74
24818,0.1094311,1.371379,-133.3232,62.78308,-1380.385,238,14
25027,0.3945851,1.778891,10.14879,-28.47293,2539.615,238,38
25235,0.3982173,1.793586,-97.69921,-17.73693,8839.615,238,46
25442,0.3817268,1.793957,-82.08321,107.1911,28789.62,238,30
25650,0.3839204,1.801577,228.7728,37.89507,39989.62,238,36
25879,0,0,8.684791,-81.17693,22419.62,238,36
26117,0.4153429,1.746231,-44.99521,83.27908,12199.62,238,18
26327,0.4124757,1.815797,-142.5952,20.81508,66869.62,238,40
26535,0.3981783,1.901822,-116.2432,-55.31293,86469.62,238,96
26744,0.3981783,1.901822,-35.23521,-52.87292,79049.62,238,112
26953,0.3884103,1.895621,-105.0192,-1.144924,81989.62,184,158
27158,0.3778327,1.852235,-58.65921,-9.440925,86889.62,NA,NA
27377,0.391979,1.801192,7.70879,-1.632924,89059.62,NA,NA
27595,0,0,8.196791,-149.4969,16679.62,NA,NA
27830,0,0,13.07679,14.95908,19.61539,34,14
28055,0,0,2.34079,5.199076,19.61539,NA,NA
28263,0,0,4.29279,3.735076,-50.38461,NA,NA
28490,0.8855383,-0.144458,4.78079,4.711076,19.61539,56,36
28710,1.493968,0.5284067,16.98079,40.82307,-10340.38,NA,NA
28917,1.492184,0.5332541,5.26879,-63.60892,-19020.38,NA,NA
29162,1.487472,0.5483075,89.69279,24.71908,-27980.38,74,0
29371,1.483982,0.6930804,85.30079,-95.32893,-25460.38,236,0
29580,0,0,56.02079,-262.7129,-23010.38,56,0
29785,0,0,9.66079,5.199076,-190.3846,56,0
30020,0.7008235,-0.1249763,-2.53921,3.735076,-50.38461,60,0
30258,1.4891,0.7207866,21.86079,147.6951,-6490.385,56,0
30485,1.492236,0.7349598,17.46879,52.04707,-15310.38,238,198
30692,1.481912,0.7273412,56.99679,39.35908,-20630.38,50,36
30917,1.481912,0.7273412,-97.21121,-91.91293,-14470.38,NA,NA
31135,1.471041,0.7493195,-98.18721,-13.34492,-11390.38,NA,NA
31367,1.383895,0.8505621,74.56479,41.31107,-2220.385,202,172
31585,0.9842868,1.018212,36.01279,-10.90492,15839.62,238,200
31792,0.9842868,1.018212,21.86079,149.1591,33059.62,228,184
32014,0.9842868,1.018212,70.17279,84.74308,23049.62,218,192
32223,0.9842868,1.018212,-20.10721,-58.72893,23749.62,208,204
32430,0.968833,1.043231,54.55679,-69.46493,25149.62,232,202
32671,1.260624,0.9150601,-67.93121,-94.35292,23819.62,234,204
32896,1.0303,0.9760902,29.18079,65.22308,6319.615,218,138
33112,0.9448832,1.149013,-69.88321,-80.68893,24029.62,NA,NA
33338,0.9447988,1.155106,-39.62721,-103.1369,35229.62,NA,NA
33552,0.7875731,1.408605,-5.95521,-14.80892,39569.62,NA,NA
33758,0.6449865,1.468778,26.25279,-132.4169,53009.62,NA,NA
33966,0.5920138,1.479604,-107.4592,-67.51292,64979.62,194,156
34175,0.5534923,1.486115,-138.2032,11.54308,67849.62,238,6
34383,0.6795638,1.48201,260.0048,73.51908,38239.62,238,8
34592,0.8348164,1.402503,-23.03521,-1.144924,46009.62,238,130
34830,0.9478394,1.206226,-23.52321,-5.048924,38169.62,50,0
35037,0.9193622,1.202712,-151.8672,4.711076,33759.62,NA,NA
35246,0.8913815,1.262685,-14.25121,-49.94492,37049.62,38,0
35455,0.831562,1.360514,-47.43521,-42.13692,37819.62,146,0
35663,0.4848783,1.51762,-99.65121,-4.072924,43699.62,148,0
35903,0.4208057,1.614974,-109.8992,-183.1689,83879.62,138,30
36143,0,0,37.96479,-228.5529,30539.62,134,102
36367,0,0,11.61279,9.591076,-120.3846,130,80
36573,0,0,-0.5872097,2.271076,-50.38461,130,80
36776,1.148811,0.1350888,-1.56321,2.271076,19.61539,130,82
36984,1.51762,0.4848783,-8.88321,32.52708,-12090.38,132,76
37189,1.512052,0.4928421,100.4288,80.83908,-38410.38,152,62
37413,1.499958,0.5143907,136.0528,38.38308,-43310.38,NA,NA
37625,1.499958,0.5143907,-100.1392,171.6071,-29730.38,222,140
37829,0,0,-55.73121,-132.4169,-28400.38,238,44
38037,0,0,-30.84321,-64.09692,229.6154,176,0
38274,0.3193231,1.361748,-16.20321,-15.29692,1139.615,168,0
38501,0.4810403,1.520559,-71.34721,51.07108,42089.62,226,0
38740,0,0,131.1728,-168.5289,56929.62,30,0
38947,0,0,-14.25121,-25.54493,509.6154,32,0
39151,0,0,-4.49121,-6.512924,19.61539,32,0
39358,0.6752827,1.435736,-41.57921,94.50308,17799.62,32,0
39565,0,0,20.88479,-346.649,43139.62,26,0
39781,0,0,-20.59521,-16.27292,649.6154,238,132
39985,0,0,1.36479,2.271076,-190.3846,238,130
40189,0,0,-4.00321,-9.440925,-50.38461,220,130
40393,0,0,0.3887901,-4.072924,19.61539,220,132
40628,0,0,-1.56321,-6.512924,19.61539,238,130
40851,0,0,-0.09920979,-4.072924,-50.38461,238,130
41054,0,0,-4.97921,-5.048924,-50.38461,238,130
41259,0,0,-3.51521,-5.536924,-50.38461,238,130
41463,0,0,-2.53921,-3.584924,19.61539,238,130
41668,0,0,-1.56321,-6.512924,19.61539,224,130
41890,0,0,-2.53921,-3.584924,19.61539,220,130
42094,0,0,0.3887901,-6.512924,19.61539,220,130
42297,0,0,-1.56321,-3.584924,19.61539,220,130
42501,0,0,-4.00321,-2.608924,19.61539,224,130
42736,0,0,-3.02721,-5.048924,19.61539,220,132
42960,0,0,-1.07521,-4.560925,-50.38461,226,130
