time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
612.042,0.4458747,0.7303343,-49.94549,43.79435,37776.11,17.7835,-1313.701,1608.947,-0.002316385,0.003158851
612.308,0.6266956,0.4519569,19.83851,-48.43765,8586.107,16.82131,-1319.952,1617.324,-0.002683797,0.003262742
612.586,0.6199606,0.4548069,-10.41749,-31.35765,-32503.89,17.13058,-1328.233,1624.058,-0.00326146,0.002366736
612.851,0.6107059,0.8589985,-143.1535,214.1064,1306.108,20.05155,-1336.192,1630.148,-0.003154681,0.002733606
613.114,0.6101751,0.8652105,-47.50549,83.81035,35256.11,19.39862,-1344.183,1640.137,-0.003363576,0.004571908
613.395,0.6697352,0.7046277,41.31051,-17.20565,4806.108,16.82131,-1354.043,1651.833,-0.003887217,0.004149708
613.662,0.617628,0.9090664,-84.59348,-2.077651,18876.11,16.80412,-1363.451,1662.144,-0.00362295,0.004148101
613.938,0.617628,0.9090664,46.67851,54.53035,61716.11,56.78694,-1372.377,1674.646,-0.00356883,0.005458327
614.229,0.6213012,0.9617308,-67.02549,-32.33365,73826.11,82.06185,-1382.043,1689.758,-0.003829472,0.005980408
614.508,0.6241496,0.9820284,-125.5855,15.97835,76836.11,63.62543,-1391.709,1704.999,-0.00414239,0.006554167
614.799,0.6458144,0.7635519,38.38251,-80.64565,49116.11,12.73196,-1402.343,1720.852,-0.004979119,0.006918388
615.068,0.7004017,0.7553405,-2.121487,47.21035,33296.11,10.30928,-1412.428,1733.386,-0.003876644,0.004714569
615.336,0.811324,0.9711573,58.87851,103.3304,5506.108,9.621993,-1422.9,1744.953,-0.004660341,0.004450852
615.616,0.8196078,0.8196078,-14.80949,81.37035,17546.11,7.250859,-1435.015,1758.454,-0.00465842,0.005181706
615.896,0.6255989,1.278233,-11.39349,-46.97365,36446.11,58.38488,-1446.647,1771.987,-0.004132857,0.005179351
616.182,0.7065197,1.419101,18.37451,39.40235,68226.11,152.2337,-1456.732,1786.616,-0.004287839,0.006379856
616.486,0.5789708,1.481163,-54.33749,-57.22165,82716.11,88.52234,-1467.14,1803.532,-0.003763177,0.006428786
616.779,0.2875593,1.190492,-56.77749,69.17035,78236.11,17.80069,-1476.967,1819.965,-0.003343392,0.005851183
617.043,0,0,13.49451,-202.1577,54856.11,13.0756,-1482.187,1832.113,-0.000992123,0.002924537
617.32,0.7494293,0.5840425,57.90252,-6.957651,-9123.893,12.73196,-1484.314,1834.69,-0.00177454,0.001409507
617.588,0.5962918,0.5040421,32.52651,-82.59765,-34953.89,12.73196,-1492.24,1840.49,-0.003599523,0.002504506
617.857,0.5962918,0.5040421,-13.83349,10.61035,-9193.893,12.38832,-1500.36,1847.192,-0.003024607,0.002659694
618.144,0.4994581,0.5832927,67.17451,-151.4057,10896.11,12.04467,-1507.771,1854.377,-0.002502056,0.002814862
618.406,0.5757093,0.5324236,33.99051,-57.22165,7676.108,10.65292,-1513.797,1861.337,-0.002448884,0.002761557
618.687,0.5757093,0.5324236,11.54251,3.290349,746.1078,11.01375,-1520.595,1868.555,-0.003489149,0.003489544
618.948,0.5681929,0.5242861,-22.12949,152.1304,-5693.892,9.639175,-1527.362,1874.935,-0.002811206,0.002446739
619.24,0.511764,0.5847615,64.24651,54.53035,-5343.892,237.0275,-1534.837,1881.895,-0.004422989,0.004422989
619.505,0.2534156,0.7569193,-74.83349,6.706349,54296.11,93.95189,-1540.605,1889.66,-0.002236263,0.003744642
619.808,0.1399168,0.9910735,-26.52149,100.8904,107426.1,84.72508,-1545.052,1900.486,-0.001247669,0.004366744
620.064,0.2894447,0.7579591,-75.80949,14.02635,111906.1,140.8935,-1547.887,1911.861,-0.002130498,0.007586871
