time,left effort,right effort,x accel,y accel,z gyro
4642,0,0,0.3909369,-0.4017239,16.62984
4730,0,0,-0.09706306,3.990276,16.62984
4839,0,0,1.854937,-0.4017239,-53.37016
4944,0,0,0.3909369,-3.329723,-53.37016
5030,0,0,-0.585063,-0.4017239,16.62984
5135,0,0,-2.537064,3.502277,86.62984
5238,0,0,2.830937,0.574276,16.62984
5342,0,0,1.854937,-0.8897228,-53.37016
5432,0,0,-0.09706306,-0.4017239,16.62984
5537,0,0,0.3909369,-0.4017239,16.62984
5643,0,0,1.366937,-1.377724,16.62984
5729,0,0,-1.561064,2.526278,16.62984
5834,0,0,1.366937,1.062277,16.62984
5939,0,0,-2.537064,-1.865723,86.62984
6044,0,0,-12.29706,-5.281723,86.62984
6133,0,0,-9.369063,-4.305723,-53.37016
6236,0,0,-0.585063,-6.745724,86.62984
6340,0,0,6.246936,4.966276,16.62984
6440,0,0,3.318936,0.574276,16.62984
6527,0,0,-0.09706306,-0.4017239,16.62984
6632,0,0,-0.585063,0.08627701,86.62984
6737,0,0,-8.393064,-6.745724,16.62984
6842,0,0,-3.025064,5.942276,-123.3702
6940,0,0,-4.977063,-12.11372,86.62984
7041,0,0,0.8789368,-1.865723,16.62984
7143,0,0,1.366937,5.942276,16.62984
7233,0,0,-3.513063,-3.329723,16.62984
7337,0,0,-0.09706306,1.550278,16.62984
7441,0,0,1.366937,-2.353724,16.62984
7529,0,0,-1.073064,3.014277,16.62984
7633,0,0,-1.073064,-4.793723,16.62984
7740,0,0,0.8789368,-5.281723,16.62984
7837,0,0,1.854937,3.502277,16.62984
7943,0,0,-1.073064,4.966276,-53.37016
8031,0,0,-0.09706306,-3.329723,16.62984
8142,0,0,-0.585063,1.062277,-53.37016
8243,0,0,1.854937,2.526278,16.62984
8344,0,0,-0.09706306,0.08627701,16.62984
8429,0,0,-1.073064,-1.377724,16.62984
8537,0,0,0.8789368,1.062277,16.62984
8640,0,0,0.3909369,1.550278,16.62984
8743,0,0,-0.585063,1.062277,16.62984
8830,0,0,1.366937,0.08627701,16.62984
8940,0,0,1.366937,-0.8897228,16.62984
9044,0,0,-0.09706306,0.574276,16.62984
9128,0,0,0.8789368,0.08627701,16.62984
9237,0,0,-0.09706306,1.550278,-53.37016
9344,0,0,-1.561064,-0.8897228,16.62984
9442,0,0,1.366937,-1.865723,16.62984
9529,0,0,1.366937,-0.4017239,-123.3702
9634,0,0,-1.561064,-4.305723,-53.37016
9738,0,0,-0.09706306,2.038277,-53.37016
9844,0,0,-1.561064,1.550278,-53.37016
9939,0,0,-0.09706306,-1.377724,16.62984
10043,0,0,-0.585063,-0.8897228,16.62984
10129,0,0,-2.049064,-0.4017239,16.62984
10237,0,0,1.366937,-0.4017239,16.62984
10343,0,0,-1.073064,0.08627701,16.62984
10428,0,0,-0.585063,0.574276,16.62984
10532,0,0,1.366937,1.550278,-53.37016
10640,0,0,0.3909369,0.08627701,16.62984
10726,0,0,-2.049064,-1.865723,-53.37016
10835,0,0,-0.585063,-0.4017239,-53.37016
10941,0,0,0.3909369,0.574276,16.62984
11028,0,0,-2.049064,0.08627701,16.62984
11135,0,0,-0.09706306,-1.377724,16.62984
11236,0,0,-1.561064,-1.377724,86.62984
11341,0,0,0.3909369,1.062277,16.62984
11428,0,0,-0.09706306,-0.8897228,-53.37016
11543,0,0,1.854937,-0.8897228,-53.37016
11630,0,0,2.342937,1.062277,16.62984
11735,0,0,-1.561064,-0.4017239,-53.37016
11839,0,0,-0.09706306,-1.865723,16.62984
11944,0,0,-1.073064,-0.4017239,16.62984
12043,0,0,-1.561064,1.062277,16.62984
12132,0,0,-0.585063,3.502277,16.62984
12237,0,0,1.854937,-0.4017239,16.62984
12341,0,0,-2.537064,0.08627701,16.62984
12430,0,0,-1.561064,1.550278,-53.37016
12536,0,0,-1.073064,1.550278,16.62984
12639,0,0,-0.585063,-0.8897228,16.62984
12743,0,0,0.3909369,-0.4017239,-53.37016
12828,0,0,2.830937,2.526278,16.62984
12942,0,0,0.8789368,-1.865723,-53.37016
13032,0,0,0.3909369,2.526278,16.62984
13142,0,0,-1.561064,-0.4017239,-53.37016
13230,0,0,1.366937,0.08627701,16.62984
13336,0,0,-0.585063,-0.8897228,16.62984
13442,0,0,-2.049064,-2.841722,16.62984
13528,0,0,0.3909369,0.08627701,16.62984
13615,0,0,-0.09706306,-1.865723,16.62984
13734,0,0,-0.585063,-1.865723,16.62984
13835,0,0,2.342937,-1.377724,16.62984
13935,0,0,-0.09706306,0.08627701,-53.37016
14035,0,0,-2.049064,-2.353724,16.62984
14136,0,0,0.3909369,0.574276,16.62984
14237,0,0,-2.049064,1.062277,-53.37016
14321,0,0,-1.073064,0.574276,-53.37016
14442,0,0,-0.585063,0.574276,16.62984
14543,0,0,-2.537064,1.062277,16.62984
14636,0,0,-1.073064,0.08627701,86.62984
14744,0,0,-1.073064,-0.4017239,16.62984
14832,0,0,-1.561064,1.550278,-53.37016
14938,0,0,1.854937,-3.329723,16.62984
15026,0,0,1.366937,-1.377724,16.62984
15143,0,0,-2.537064,1.062277,-53.37016
15232,0,0,-0.09706306,-2.841722,16.62984
15343,0,0,-1.073064,-1.377724,16.62984
15432,0,0,-1.073064,0.08627701,16.62984
15537,0,0,0.3909369,1.062277,16.62984
15639,0,0,2.342937,0.574276,-53.37016
15735,0,0,-1.073064,-0.4017239,16.62984
15838,0,0,0.8789368,-0.4017239,16.62984
15939,0,0,-0.585063,1.062277,86.62984
16037,0,0,0.8789368,-0.4017239,16.62984
16141,0,0,0.8789368,-0.8897228,16.62984
16230,0,0,2.342937,2.038277,16.62984
16338,0,0,2.830937,0.574276,-53.37016
16441,0,0,-0.09706306,-1.865723,-53.37016
16531,0,0,2.342937,-2.353724,86.62984
16637,0,0,1.854937,0.08627701,16.62984
16742,0,0,-0.585063,0.08627701,16.62984
16830,0,0,0.8789368,-1.377724,86.62984
16943,0,0,-1.073064,-0.4017239,16.62984
17030,0,0,-1.561064,2.038277,16.62984
17139,0,0,0.3909369,0.574276,16.62984
17228,0,0,-1.073064,0.08627701,-53.37016
17338,0,0,-1.561064,-2.841722,16.62984
17439,0,0,0.8789368,0.08627701,-53.37016
17542,0,0,-0.585063,-1.377724,16.62984
17631,0,0,-1.561064,1.062277,-53.37016
17739,0,0,-0.09706306,-2.353724,-53.37016
17829,0,0,0.3909369,0.08627701,16.62984
17936,0,0,-0.09706306,0.574276,-53.37016
18037,0,0,-1.073064,-2.841722,16.62984
18140,0,0,-0.09706306,-1.865723,16.62984
18229,0,0,-1.073064,3.990276,-53.37016
18338,0,0,1.366937,1.550278,-53.37016
18442,0,0,-1.073064,-2.353724,-53.37016
18538,0,0,-1.073064,0.08627701,16.62984
18641,0,0,-3.513063,3.502277,16.62984
18730,0,0,0.3909369,-0.4017239,-53.37016
18840,0,0,2.342937,1.062277,16.62984
18942,0,0,2.830937,2.038277,-53.37016
19042,0,0,-1.073064,5.942276,-53.37016
19129,0,0,0.3909369,-5.769723,16.62984
19234,0,0,0.3909369,-1.377724,16.62984
19340,0,0,-2.537064,0.08627701,16.62984
19455,0,0,0.3909369,0.574276,-53.37016
19542,0,0,1.854937,-0.4017239,16.62984
19627,0,0,1.366937,-2.841722,-53.37016
19735,0,0,-2.049064,0.574276,16.62984
19843,0,0,0.8789368,1.550278,16.62984
19944,0,0,-1.073064,2.038277,16.62984
20030,0,0,1.366937,-0.8897228,16.62984
20132,0,0,2.342937,-1.377724,-53.37016
20240,0,0,0.8789368,1.062277,-53.37016
20328,0,0,1.366937,0.08627701,16.62984
20434,0,0,1.366937,-3.329723,16.62984
20537,0,0,1.366937,2.038277,-53.37016
20639,0,0,-7.417064,-0.8897228,16.62984
20741,0,0,0.8789368,-2.841722,16.62984
20830,0,0,-2.537064,0.574276,16.62984
20940,0,0,2.830937,6.430277,16.62984
21044,0,0,-1.073064,-1.377724,16.62984
21128,0,0,0.8789368,-2.841722,16.62984
21235,0,0,1.854937,0.08627701,16.62984
21335,0,0,-0.585063,2.526278,16.62984
21441,0,0,-1.073064,1.550278,-53.37016
21544,0,0,-1.561064,-1.377724,-53.37016
21643,0,0,1.366937,-1.377724,16.62984
21744,0,0,-0.09706306,-0.4017239,16.62984
21828,0,0,1.366937,-2.841722,-53.37016
21936,0,0,2.342937,-1.865723,16.62984
22039,0,0,0.3909369,-2.353724,16.62984
22139,0,0,0.8789368,1.550278,16.62984
22238,0,0,0.8789368,3.014277,-53.37016
22335,0,0,-0.09706306,-0.8897228,-53.37016
22436,0,0,5.758937,0.08627701,-53.37016
22535,0,0,4.294936,2.038277,16.62984
22644,0,0,-1.073064,1.550278,-53.37016
22729,0,0,-1.561064,1.550278,16.62984
22837,0,0,-0.585063,1.062277,16.62984
22927,0,0,-0.09706306,-0.4017239,16.62984
23033,0,0,-1.073064,-1.377724,-53.37016
23141,0,0,0.8789368,1.550278,-53.37016
23231,0,0,-2.049064,0.08627701,-53.37016
23335,0,0,-1.073064,0.08627701,16.62984
23440,0,0,-1.561064,-3.329723,16.62984
23543,0,0,-0.585063,0.08627701,16.62984
23631,0,0,0.3909369,1.062277,-53.37016
23734,0,0,0.3909369,-0.8897228,-53.37016
23837,0,0,0.3909369,-2.353724,16.62984
