time,left effort,right effort,x accel,y accel,z gyro,y head,y tail
33987,0,0,-6.171282,2.821079,-6.292145,140,132
34237,0.5175708,0.5431836,-47.65128,14.04508,12103.71,140,132
34507,0.5175708,0.5431836,-58.87528,14.53308,15463.71,156,126
34748,0.4534348,0.5098927,-72.05128,13.55708,20433.71,164,122
35002,1.255793,0.4723278,-20.32328,35.51708,-10926.29,194,116
35245,1.468001,0.6320939,26.03672,17.94908,-24926.29,238,214
35501,1.486115,0.5534923,43.60472,-17.67492,-25976.29,212,162
35743,0,0,61.17271,-284.1229,-30316.29,200,180
35997,0,0,5.052718,12.09308,413.7079,188,176
36221,0,0,-3.243282,1.845079,133.7079,188,176
36491,0.8058702,0.8142532,-5.195282,172.6451,26103.71,186,180
36735,0.7701495,0.8378306,-152.5713,-28.89892,31563.71,204,176
36992,0,0,-16.90728,-141.1389,9233.708,228,172
37235,1.480436,0.6662824,-53.01928,125.3091,-2386.292,226,168
37491,1.4798,0.6597324,-30.57128,-65.49892,-6726.292,228,184
37754,1.552656,0.3876529,-0.3152819,-7.426921,-9736.292,26,2
37981,1.620159,0.4194487,38.72472,11.11708,-42496.29,18,2
38254,0,0,2.612718,-154.3149,-36056.29,8,2
38497,0.6850182,-0.2805432,6.516718,-2.546921,-6.292145,220,0
38740,0.4969326,-0.05829836,27.01272,40.88508,-31366.29,226,64
38996,0.968833,1.043231,-9.099282,222.9091,14973.71,200,4
39240,0.9530298,1.015218,-92.54729,5.26108,29603.71,202,48
39495,0,0,-16.41928,-104.0509,4613.708,194,168
39735,0,0,2.612718,5.74908,-76.29214,192,172
39990,0.6714485,0.5963055,-41.79528,45.27708,13853.71,190,172
40259,0,0,-3.243282,-10.35492,-286.2921,184,176
40486,0.6177502,0.7841057,-12.02728,24.29308,26383.71,182,184
40731,0.79252,0.8819947,-25.69128,-28.41092,34363.71,200,172
41006,0.5148451,-0.1148451,72.39672,-98.68292,12243.71,222,204
41251,1.001838,0.3701679,60.19672,47.22908,-41936.29,222,186
41507,0.7882705,1.235982,-30.08328,24.78108,20083.71,216,204
41742,0.61602,1.217556,-0.803282,52.10908,46333.71,216,134
41999,0.5862798,1.480215,-114.5073,47.22908,64113.71,174,10
42241,0,0,68.00471,-199.2109,17983.71,224,120
42497,0.9448832,1.149013,16.27672,142.8771,-25136.29,228,132
42741,0.954139,1.081641,-89.61929,-46.46692,3843.708,172,194
43008,0.6404591,1.478503,-276.0353,5.26108,47593.71,222,0
43253,0.2373256,1.199615,88.50072,23.80508,57883.71,190,0
43506,0,0,6.028718,-100.6349,9513.708,70,0
43745,0.901946,0.8790649,61.17271,13.55708,8673.708,68,0
44000,1.047724,0.9666245,-16.41928,-34.75492,20083.71,70,0
44241,0,0,47.99672,-256.3069,-10926.29,58,26
44495,0,0,-69.12328,-23.53092,-23736.29,36,10
44732,0.7058664,1.417621,-28.61928,127.7491,19873.71,238,198
44986,0.7058664,1.417621,-47.16328,-4.49892,60403.71,236,186
45256,0.6527962,0.5752105,-5.683282,-118.6909,25123.71,130,0
45481,1.254813,0.8889218,-59.85128,62.35708,19803.71,148,0
45750,1.295391,0.8647017,-77.90729,49.66908,11473.71,108,18
45967,0,0,-105.2353,-236.2989,-2596.292,238,194
46239,0.6021918,0.9008718,-28.13128,56.01308,11123.71,200,0
46466,0.8327645,1.321487,15.78872,94.07708,40453.71,198,0
46739,0.6404591,1.478503,-102.3073,81.87708,54663.71,186,0
46965,0,0,296.3887,-474.4429,-216.2921,124,0
47236,1.384761,0.8642386,-10.56328,158.4931,8743.708,224,226
47500,1.384761,0.8642386,-12.02728,15.99708,10843.71,190,146
47745,0,0,64.10072,-135.2829,-1196.292,212,148
47988,1.520559,0.4810403,9.932718,21.85308,-30666.29,148,76
48245,0,0,-30.08328,-71.84293,-8686.292,236,196
48486,1.520559,0.4810403,-23.25128,68.21307,-7706.292,204,152
48740,0,0,-75.95528,-46.46692,-9876.292,226,200
48985,0.9450722,1.142989,-95.96329,128.2371,32193.71,54,0
49240,0,0,-35.45128,-301.6909,22533.71,38,0
49508,0.3049245,0.2565023,11.88472,13.06908,1113.708,84,0
49749,0.6804511,0.7001285,-27.15528,28.19708,19033.71,84,0
50008,0.7805155,0.8473665,-49.11528,20.38908,23023.71,36,2
50234,0.990267,1.010633,9.932718,60.89308,30933.71,80,14
50504,1.081641,0.954139,45.06872,30.14908,4123.708,124,64
50759,0.5023524,0.294642,-75.46729,-146.5069,-4276.292,98,0
51003,1.285834,0.8165456,44.09272,155.0771,-13656.29,80,0
51258,0,0,22.13272,-312.9149,-16386.29,44,0
51499,0.7136512,1.41989,-36.42728,131.6531,29813.71,26,0
51754,0.5534923,1.486115,-55.45928,77.48508,62293.71,22,0
52009,0.3688137,1.827911,-123.2913,-53.78692,80703.71,238,156
52238,-0.5052428,-0.5875061,52.38872,-24.99492,-10996.29,164,138
52484,-0.5141968,-0.5905657,-46.18728,2.821079,-22966.29,158,134
52742,-0.5141968,-0.5905657,39.21272,147.7571,-29336.29,142,118
52985,0,0,25.06072,113.5971,2443.708,150,94
53240,0.5332541,1.492184,14.32472,28.68508,33803.71,150,104
53506,0.4402328,1.567851,-78.39529,-5.474921,77623.71,238,166
53730,0.4402328,1.567851,-110.6033,-74.77093,82523.71,238,148
54003,0.4402328,1.567851,-29.59528,19.90108,65233.71,168,122
54245,0.05488438,1.217908,-124.7553,-5.474921,82593.71,146,94
54499,1.161268,0.9448187,-32.03528,134.5811,33873.71,76,0
54740,1.4146,0.7662251,11.88472,25.75708,19453.71,136,2
54995,1.567851,0.4402328,60.68472,-7.426921,-32906.29,238,0
55237,0,0,-4.707282,2.333079,-53276.29,238,0
