time,left effort,right effort,x accel,y accel,z gyro,left line,right line
261081,0.02745098,0.02058814,-1.134052,0.8484535,-28.23863,NA,NA
261285,0.02745098,0.02058814,1.305946,-3.055546,-28.23863,NA,NA
261492,0.02745098,0.02058814,-0.1580544,3.288452,-28.23863,NA,NA
261700,0.02745098,0.02058814,2.769947,0.3604546,-28.23863,NA,NA
261904,0.02745098,0.02058814,2.281948,-0.6155472,41.76137,NA,NA
262106,0.02745098,0.02058814,2.281948,2.800453,-28.23863,NA,NA
262312,0.02745098,0.02058814,0.8179474,-2.079548,-98.23863,NA,NA
262528,0.02745098,0.02058814,-1.622051,0.8484535,41.76137,NA,NA
262736,0.02745098,0.02058814,-1.134052,-0.1275482,-98.23863,NA,NA
262939,0.02745098,0.02058814,-2.110054,-1.103546,-28.23863,NA,NA
263146,0.02745098,0.02058814,-0.6460533,0.8484535,41.76137,NA,NA
263364,0.02745098,0.02058814,1.793945,-0.1275482,-28.23863,NA,NA
263573,0.02745098,0.02058814,0.3299484,4.752453,111.7614,NA,NA
263779,0.02745098,0.02058814,-1.134052,2.312454,-168.2386,NA,NA
263985,0.03529412,0.0282352,1.793945,-1.103546,-28.23863,NA,NA
264204,0.04313725,0.03594761,-0.1580544,-0.6155472,-28.23863,NA,NA
264408,0.1843137,0.1488687,-1.622051,0.8484535,41.76137,NA,NA
264626,0.2156863,0.1669828,4.721947,-2.567547,181.7614,NA,NA
264831,0.3019608,0.2387596,3.257946,-4.519547,41.76137,NA,NA
265034,0.372549,0.2952274,-5.526054,2.800453,111.7614,NA,NA
265243,0.3960784,0.3182772,-4.062054,-6.471546,41.76137,NA,NA
265443,0.3960784,0.3182772,5.697948,-10.37555,-168.2386,NA,NA
265662,0.3960784,0.3182772,3.257946,-5.495548,-168.2386,NA,NA
265893,0.3960784,0.3182772,0.8179474,-1.591549,111.7614,NA,NA
266103,0.1215686,0.08779946,0.3299484,9.144451,321.7614,NA,NA
266325,-0.01307187,-0.0196079,0.8179474,-3.055546,41.76137,NA,NA
266534,-0.03594767,-0.04313731,-0.6460533,-0.6155472,41.76137,NA,NA
266738,-0.4039216,-0.3810581,0.8179474,-4.519547,-98.23863,NA,NA
266941,-0.5215687,-0.4985582,-15.28606,-6.959549,-168.2386,NA,NA
267153,-0.5137255,-0.4759516,-6.014053,-2.079548,251.7614,NA,NA
267359,-0.5137255,-0.4907229,0.8179474,1.824451,-238.2386,NA,NA
267574,-0.4980392,-0.4750528,-7.478054,-1.103546,41.76137,NA,NA
267787,-0.3411765,0.3184313,-0.6460533,3.288452,-168.2386,NA,NA
268005,-0.8588236,0.8588236,16.92195,-10.37555,321.7614,NA,NA
268226,-0.9074074,0.9607843,14.48195,6.704453,321.7614,NA,NA
268441,-0.383649,0.4352941,-15.77406,-11.35155,-168.2386,NA,NA
268655,0.7803922,-0.7572122,-10.89405,8.656452,251.7614,NA,NA
268859,0.9843138,-0.9610622,19.84995,11.09645,-588.2386,NA,NA
269062,-0.05418894,0.0745098,-10.89405,1.824451,671.7614,NA,NA
269290,0.3378378,0.490196,1.305946,-0.1275482,181.7614,NA,NA
269494,0.4033464,0.5215687,-5.526054,-8.911549,391.7614,NA,NA
269726,0.4033464,0.5215687,0.3299484,-5.495548,-28.23863,NA,NA
269942,0.4033464,0.5215687,11.06595,-7.935547,-28.23863,NA,NA
270153,0.4033464,0.5215687,6.185947,-14.76754,181.7614,NA,NA
270359,0.3957075,0.5137255,-1.134052,-12.32755,-168.2386,NA,NA
270559,0.05374002,0.145098,-1.622051,6.216454,-168.2386,NA,NA
270779,-0.03636363,0.06666666,0.3299484,-1.591549,-168.2386,NA,NA
270984,0.1997264,0.2862745,-2.110054,-2.567547,-28.23863,NA,NA
271198,0.2798923,0.3568627,-4.062054,-0.6155472,181.7614,NA,NA
271413,0.2798923,0.3568627,-1.134052,-0.6155472,-28.23863,NA,NA
271631,0.2798923,0.3568627,-3.086052,-3.055546,-168.2386,NA,NA
271847,0.37,0.4352941,0.8179474,-16.71955,111.7614,NA,NA
272081,0.3777563,0.4431372,4.721947,-9.887547,251.7614,NA,NA
272309,0.3992285,0.4509804,2.281948,1.336452,-448.2386,NA,NA
272515,0.3992285,0.4509804,-11.38205,-3.543549,391.7614,NA,NA
272716,0.3914379,0.4431372,-1.134052,-5.007545,111.7614,NA,NA
272936,0.3992285,0.4509804,-3.086052,-6.471546,-28.23863,NA,NA
273139,0.4010417,0.4666667,4.721947,3.288452,181.7614,NA,NA
273358,0.4148148,0.4666667,3.745949,0.8484535,321.7614,NA,NA
273572,0.4148148,0.4666667,4.721947,-0.1275482,41.76137,NA,NA
273791,0.4148148,0.4666667,-9.918053,1.336452,461.7614,NA,NA
274003,0.4148148,0.4666667,-6.990051,-0.6155472,-98.23863,NA,NA
274222,0.4010417,0.4666667,-1.622051,2.800453,41.76137,NA,NA
274428,0.4088084,0.4745098,8.625946,-4.519547,-448.2386,NA,NA
274638,0.4368503,0.4745098,11.55395,-8.911549,111.7614,NA,NA
274853,-0.004166666,0.06666666,2.769947,3.288452,601.7614,NA,NA
275059,-0.5607843,-0.2331975,-1.622051,-1.103546,-168.2386,NA,NA
275272,-0.5607843,-0.2411373,2.769947,-1.103546,-28.23863,NA,NA
275479,-0.5686275,-0.2477189,-0.1580544,-10.37555,181.7614,NA,NA
275691,-0.5607843,-0.257503,-9.430054,9.144451,251.7614,NA,NA
275899,-0.5607843,-0.2923238,5.697948,-4.031548,111.7614,NA,NA
276108,-0.8666667,-0.5843435,-11.38205,6.216454,-238.2386,NA,NA
276314,-0.9843138,-0.6963852,-0.1580544,6.704453,-98.23863,NA,NA
276523,-0.9843138,-0.6963852,4.233948,-6.471546,-658.2386,NA,NA
276734,0.00490196,0.01960784,4.721947,-10.86355,391.7614,NA,NA
276953,0.00490196,0.01960784,0.3299484,-1.103546,391.7614,NA,NA
277168,-0.2593707,-0.309804,-0.1580544,-3.055546,41.76137,NA,NA
277375,-0.7679042,-0.9843138,0.3299484,17.92845,321.7614,NA,NA
277587,-0.1764706,-0.1289593,0.3299484,7.192451,181.7614,NA,NA
277794,-0.7885713,-0.8117647,-2.110054,14.51245,-28.23863,NA,NA
278002,0.01960784,0.01307181,-11.38205,-5.007545,-238.2386,NA,NA
278215,0.02745098,0.02058814,8.137947,-22.57555,-98.23863,NA,NA
278437,0.02745098,0.02058814,1.305946,1.336452,391.7614,NA,NA
278653,0.02745098,0.02058814,-0.6460533,-2.079548,111.7614,NA,NA
278875,0.02745098,0.02058814,-1.134052,-0.6155472,-28.23863,NA,NA
279083,0.02745098,0.02058814,1.793945,-5.983547,111.7614,NA,NA
279312,0.02745098,0.02058814,-0.1580544,1.336452,-28.23863,NA,NA
