time,left effort,right effort,x accel,y accel,z gyro,range,encoder left,encoder right,vel left,vel right
182.242,0.413172,0.3652372,17.39851,-12.32565,-9123.893,15.13746,-93.41003,92.12116,-0.0033593,0.002475256
182.509,0.3529773,0.5088403,-4.561487,15.00235,-15283.89,17.13058,-96.79328,94.79555,-0.005296462,0.004060602
182.769,0.4288219,0.7123479,37.89451,106.2584,3056.108,17.14777,-100.7565,98.88768,-0.005465126,0.005994098
183.048,0.4449896,0.6814225,-40.67349,65.75435,48416.11,15.84192,-105.9442,106.0086,-0.006864988,0.01056161
183.31,0.5241363,0.5190305,49.60651,-3.541651,21186.11,12.73196,-111.3896,114.2251,-0.007734194,0.01037083
183.569,1.062785,0.4548568,95.96651,38.91435,-26343.89,10.65292,-118.1239,121.0238,-0.01053167,0.008425296
183.845,0.6272264,0.4987487,2.758513,-55.75765,-42513.89,13.76289,-128.8859,127.9514,-0.01349541,0.009288983
184.106,0.6258671,0.7098171,5.198514,-60.14965,-8003.892,16.82131,-137.6823,135.2657,-0.01172609,0.010676
184.442,0.6060501,0.7807887,-34.81749,-38.67765,29516.11,266.2887,-148.0898,146.801,-0.0206142,0.02498165
184.726,0.304263,0.9120555,-31.40149,209.2263,47226.11,219.7423,-156.5319,157.8852,-0.0123844,0.01674522
185.001,0.2822179,1.192167,74.49451,94.05835,100986.1,55.06873,-163.0084,170.3549,-0.008186007,0.01793945
185.293,-0.03884253,0.6549158,-116.3135,79.90635,121706.1,82.8866,-168.5827,185.4023,-0.007129657,0.0193024
185.57,0,0,53.51051,-121.1497,29586.11,16.49484,-170.2904,194.5532,-0.000173663,0.004861729
185.857,0.432136,0.309362,-31.40149,249.7304,-8003.892,116.7698,-170.6771,194.9721,-0.002080405,0.000693414
186.143,0.527163,0.2964038,35.45451,2.802349,-30333.89,12.02749,-174.6404,197.2276,-0.006404752,0.003462068
186.404,0.2744179,0.5577681,-55.80149,3.290349,-1073.892,15.13746,-179.4735,200.4819,-0.005704241,0.005012945
186.665,0.2654145,0.594116,49.60651,13.53835,38686.11,13.0756,-182.8568,205.7985,-0.004142716,0.008113116
186.943,0.4649928,0.4229806,82.79052,12.56235,4666.108,10.65292,-186.5623,212.0172,-0.005860264,0.006894423
187.204,0.4649928,0.4229806,84.25452,59.89835,-5483.892,9.621993,-191.2666,216.786,-0.006368533,0.006196306
187.468,0.4523054,0.4342813,20.81451,-109.9257,6696.108,9.621993,-196.0032,221.5548,-0.00618758,0.006531225
187.744,0.4661594,0.4366535,31.06251,-72.34965,5296.108,9.621993,-200.8686,226.8713,-0.006178483,0.006521624
188.008,0.4988236,0.3974242,25.20651,-51.36565,3686.108,8.230241,-205.6051,231.9945,-0.006341137,0.007026697
188.286,0.5126883,0.4014999,35.94251,-21.10965,-6953.892,6.597938,-210.9217,237.1177,-0.008556499,0.007700792
188.546,0.5126883,0.4014999,-9.441486,-72.83765,-3663.892,5.704467,-216.0771,241.8543,-0.006835889,0.006152202
188.899,0.4920722,0.4156332,-41.64949,124.3143,-4223.892,294.0034,-223.2303,248.2986,-0.01194037,0.01074607
189.182,-0.0300678,1.041863,45.21451,-2.565651,52896.11,231.0137,-228.0313,254.1629,-0.005961173,0.01243339
