time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
835.619,0,0,4.710513,-3.541651,-23.89221,10.99656,-3635.645,4522.024,0.0,0.0
835.883,0.5702413,0.4950982,-11.39349,15.49035,4176.108,10.65292,-3637.546,4523.732,-0.0009638479,0.001002402
836.162,0.6121483,0.532896,-25.05749,-81.62165,-3383.892,9.965635,-3643.152,4529.21,-0.001888511,0.001734347
836.426,0.7176073,0.4879419,74.49451,34.03435,-30963.89,12.73196,-3650.563,4535.236,-0.002465265,0.001772329
836.731,0.6559262,0.5445095,71.56652,12.07435,-21233.89,393.7285,-3660.519,4543.162,-0.004120213,0.003504851
837.008,0.6484416,0.7149565,-41.64949,-75.76565,12786.11,431.1512,-3669.219,4551.798,-0.003387601,0.003696201
837.277,0.6520691,0.9136145,-48.96949,98.45035,19646.11,61.32302,-3677.951,4561.851,-0.003848389,0.004618184
837.591,0.7875582,1.356045,-3.097486,117.9704,54926.11,106.2199,-3688.842,4577.026,-0.003461902,0.005654703
837.879,0.6155606,1.478219,-39.20949,-31.84565,31616.11,156.323,-3702.182,4592.815,-0.00430746,0.005152752
838.173,0.3635214,1.907063,-1.145487,-17.69365,93706.11,212.0619,-3713.62,4609.41,-0.002883061,0.005189976
838.479,0.3828768,1.913891,67.17451,-85.03765,107286.1,189.2955,-3721.45,4626.519,-0.002766705,0.006455839
838.757,0.4116305,1.701568,-44.57749,-58.19765,102386.1,28.50515,-3728.185,4641.695,-0.001997643,0.004417926
839.019,1.034601,0.9735177,59.85451,-107.9736,26156.11,24.98282,-3733.308,4652.812,-0.0008450159,0.001766851
839.305,1.031284,0.9754869,69.61452,90.15435,-13253.89,21.97594,-3742.297,4662.285,-0.003685504,0.003455123
839.569,1.223093,0.9358366,-6.025487,-1.589651,8586.107,16.16838,-3755.766,4675.721,-0.004183345,0.004452038
839.833,1.344567,0.7864872,42.28651,-98.70165,9006.107,9.621993,-3769.911,4690.672,-0.004143076,0.00418203
840.109,1.51108,0.4579383,106.7025,-11.34965,-59383.89,2.989691,-3784.895,4703.722,-0.004142587,0.003107158
840.388,1.354937,0.202553,27.64651,191.1703,-25713.89,159.1581,-3799.136,4711.841,-0.004140921,0.001840087
840.703,1.414416,0.8063141,-11.39349,143.8344,-723.8922,16.16838,-3803.551,4713.807,-0.0004216616,0.0004216616
841.037,0,0,-133.8815,96.49835,63816.11,47.86942,-3811.542,4723.538,-0.002337086,0.003333055
841.339,0.6020778,0.8529881,-24.08149,-31.35765,-93.89221,181.89,-3813.217,4727.34,-7.660779e-05,3.83039e-05
841.642,0.8892776,1.271475,-5.049487,181.4104,28816.11,484.2268,-3818.888,4735.138,-0.003216079,0.004288492
841.946,0.4441869,1.561357,-163.6495,-126.5177,69766.11,134.7079,-3830.423,4750.41,-0.003253194,0.004821651
842.232,0.4127255,1.721559,-71.90549,28.17835,95806.11,121.3746,-3839.123,4766.038,-0.002410297,0.004706384
842.511,0,0,42.77451,-212.4057,33016.11,15.84192,-3844.697,4777.509,-0.000917725,0.002064954
842.775,0.6560063,0.6096827,42.77451,93.57035,-6883.892,16.16838,-3846.502,4779.281,-0.001070682,0.0009177271
843.039,0.7208799,0.6710947,26.67051,-40.14165,-13393.89,16.16838,-3853.268,4785.081,-0.002369473,0.00206424
843.323,0.5827504,0.7914334,-35.79349,-96.26165,43236.11,16.82131,-3861.678,4794.812,-0.002674965,0.003667944
843.587,0.5772832,0.9737157,14.95851,126.2664,66126.11,15.13746,-3868.896,4805.767,-0.002100522,0.003475209
843.855,0.6881332,1.420752,-24.08149,25.73835,71796.11,60.63574,-3877.048,4819.171,-0.002634799,0.00416152
