time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
767.494,0.5832927,0.4994581,-50.43349,-22.57365,-4293.892,16.82131,-2826.467,3559.118,-0.00201517,0.001847213
767.755,0.509958,0.4719702,13.98251,-86.98965,-6043.892,17.14777,-2832.653,3565.079,-0.001972192,0.001888242
768.019,0.4237897,0.9516469,17.39851,93.08235,36376.11,17.14777,-2838.034,3571.298,-0.001551908,0.002223596
768.297,0.6605057,1.373666,-14.80949,92.10635,59336.11,13.41924,-2843.802,3581.544,-0.002139218,0.003606355
768.575,0.5969059,1.479171,71.07851,-31.35765,37356.11,78.98625,-2852.921,3594.82,-0.003269608,0.00435916
768.861,0.4297292,1.589022,-116.8015,-107.9736,75926.11,48.28179,-2862.49,3609.126,-0.002640307,0.004526468
769.17,0.3823204,1.860789,-142.1775,-49.90165,101126.1,152.2852,-2870.739,3625.366,-0.002429757,0.005027106
769.444,0.4041033,1.795362,-45.06549,52.57835,103576.1,10.32646,-2877.312,3639.64,-0.002093829,0.004689618
769.721,0.7172398,1.467971,-56.77749,15.49035,59196.11,4.312715,-2884.917,3654.107,-0.002888247,0.005400319
769.991,0.8313209,1.388412,-60.68149,-5.005651,-53433.89,70.05154,-2895.485,3668.027,-0.002761992,0.004184048
770.27,0,0,479.5345,-166.5336,9916.107,5.292096,-2901.607,3678.725,-0.001589844,0.002928026
770.511,1.511018,0.36167,210.1585,-182.1497,-13603.89,294.6735,-2902.767,3680.722,-0.001338398,8.364985e-05
770.872,1.574212,0.4134623,27.64651,5.730349,186.1078,294.7079,-2907.117,3681.045,-0.002006339,4.180533e-05
771.188,0,0,3.734513,-94.30965,2076.108,82.37113,-2916.88,3681.689,-0.003133166,8.357642e-05
771.526,1.430915,0.1955102,1.294514,-5.005651,46.10779,294.4158,-2917.815,3681.657,-0.0002506194,0.0
771.796,0.006856889,-0.9912409,66.19852,-82.10965,-69953.89,272.6117,-2918.169,3678.016,0.0,-0.002630267
772.062,0,0,-1.633487,57.94635,-146953.9,4.639175,-2918.169,3669.251,0.0,-0.003171992
772.383,0.533638,1.492049,-128.0255,69.65835,30496.11,335.8076,-2918.749,3667.898,-0.0007093004,0.001627219
772.658,0.4763615,1.524392,-7.489487,-101.1417,74876.11,3.986254,-2923.905,3677.726,-0.001918284,0.003586316
772.919,0,0,39.35851,-121.6376,7046.108,2.010309,-2927.803,3684.976,-0.0004586408,0.0008338923
773.178,1.471905,0.5309378,90.11052,111.1384,-66033.89,2.33677,-2931.896,3686.619,-0.002625565,0.001041385
773.451,0,0,-27.00949,-300.7337,-13393.89,255.0172,-2941.143,3691.42,-0.003416291,0.002124648
773.791,0,0,4.710513,-1.589651,-23.89221,293.7629,-2941.82,3691.807,0.0,0.0
774.123,-0.3021506,0.7968282,6.174514,-1.589651,-23.89221,293.6254,-2941.691,3692.097,0.0001665191,0.0003746679
774.441,-0.2409168,0.9131428,-152.4255,15.97835,118626.1,467.9553,-2941.401,3699.604,0.0,0.003827736
774.722,0,0,-63.12149,166.2823,37216.11,294.0894,-2941.401,3707.563,0.0,0.002162759
775.023,0.4297292,1.589022,75.95852,-533.5096,36796.11,160.945,-2943.108,3710.721,-0.00087258,0.002203815
775.303,0.351687,1.507418,-352.0175,-29.40565,65636.11,3.659794,-2945.847,3720.902,-0.000914461,0.003283117
775.579,0.4329543,1.58177,-484.7535,208.2504,64376.11,3.659794,-2948.651,3732.534,-0.0007894807,0.00357218
775.846,0.9460412,1.240183,-167.0655,-147.0137,17546.11,17.45704,-2949.875,3741.202,0.0,0.000913821
776.104,1.139479,0.9452323,35.94251,22.32235,-11293.89,3.986254,-2956.158,3746.841,-0.003072425,0.002823284
776.384,1.148894,0.9448858,112.5585,4.754349,-13463.89,5.292096,-2969.724,3759.503,-0.004399276,0.004149595
776.659,1.02703,0.9654664,36.43051,73.56235,-24173.89,86.37457,-2985.19,3773.456,-0.005143979,0.004564008
776.961,0.4553108,1.545934,-75.80949,-204.5977,16426.11,151.6151,-2997.563,3786.731,-0.002239482,0.003068722
777.235,0.4194487,1.620159,-10.41749,55.01835,85026.11,10.99656,-3002.686,3796.849,-0.001782599,0.003690215
777.493,0,0,204.7905,-33.30965,-76113.89,8.934708,-3009.098,3805.645,-0.00236167,0.001159953
777.771,1.153666,0.9448092,30.57451,136.0264,-4783.892,8.934708,-3013.158,3808.899,-0.00211316,0.002071412
778.04,-0.2074295,1.001177,7.150514,-29.40565,122336.1,56.9244,-3020.537,3819.565,-0.0009526644,0.003851764
778.31,0.4148224,1.742169,-15.29749,8.658349,113936.1,70.03436,-3023.05,3832.356,-0.001490296,0.004305578
778.623,0.4085815,0.07908256,53.02251,-85.03765,12436.11,293.488,-3025.467,3840.058,-0.000123854,0.0005380593
778.899,1.12118,0.9467033,-506.7135,24.27435,27626.11,199.3471,-3028.27,3843.15,-0.002316032,0.002481217
779.207,0.667279,1.458341,-159.7455,-227.0457,18106.11,220.1718,-3037.646,3850.529,-0.001571296,0.001281476
779.538,0.4666667,1.533333,133.5425,-205.5737,17406.11,220.4467,-3042.931,3858.198,-0.001860013,0.003885703
779.837,1.42204,0.8109556,-15.29749,-12.32565,326.1078,220.5326,-3044.8,3863.837,-4.195088e-05,-8.264949e-05
780.121,1.354653,0.8554146,179.4145,-153.3577,6066.108,61.34021,-3052.533,3867.51,-0.002850056,0.002230724
780.439,0,0,-215.3775,-40.14165,19926.11,221.3402,-3060.781,3876.017,-0.0008255445,0.001651402
780.753,-0.5030096,-0.6233069,43.26251,-17.69365,-4503.892,221.9931,-3060.363,3876.758,0.0005362786,-0.0006191439
781.056,0,0,-6.025487,57.45835,4316.108,223.4364,-3055.916,3872.214,0.001815138,-0.001691358
781.31,0,0,4.222514,-4.517651,-303.8922,223.3505,-3054.885,3871.312,0.0,0.0
781.622,-0.1047763,0.991918,0.8065138,-5.005651,-93.89221,223.3677,-3054.885,3871.376,0.0,8.246074e-05
781.93,1.297516,0.2480801,-62.63349,-102.1177,8936.107,223.7801,-3054.917,3875.952,-4.121413e-05,0.0004530432
782.182,1.521775,0.4469927,-14.80949,146.7623,26576.11,74.34708,-3060.523,3877.499,-0.002801033,0.0009469953
782.488,0.4735154,1.526869,-14.80949,-275.3577,17756.11,52.62886,-3070.706,3881.591,-0.002717569,0.0004530321
782.765,0.4707301,1.529408,-161.2095,-97.72565,2286.108,64.74226,-3074.701,3889.453,-0.0005352121,0.003210649
783.021,0.4666667,1.533333,-22.61749,290.7224,1866.108,157.5945,-3074.733,3898.732,0.0,0.003374226
783.368,1.552797,0.4240785,139.8865,116.9944,1796.108,294.1409,-3074.862,3905.596,-4.113847e-05,0.001562639
783.707,0,0,11.05451,-9.397652,466.1078,236.5464,-3074.765,3906.691,0.0,0.0
784.041,0,0,1.294514,-5.005651,-23.89221,266.5292,-3074.765,3906.691,0.0,0.0
784.391,0,0,1.294514,-3.541651,-23.89221,294.0894,-3074.765,3906.691,0.0,0.0
784.695,-0.4879029,-0.4986659,-7.489487,22.81035,6906.108,293.8316,-3072.735,3904.984,0.001273136,-0.0009850314
784.984,-0.001490474,-0.9869472,-18.71349,-140.1817,-90043.89,12.50859,-3070.609,3898.797,0.0002052689,-0.003653476
785.297,-0.5039582,-0.5691624,104.2625,100.4024,-13253.89,224.8625,-3067.129,3890.742,0.001764609,-0.00205156
785.606,0,0,160.8705,192.6344,-1073.892,227.6804,-3062.006,3884.781,0.001066242,-0.001189306
785.925,1.488811,0.4895573,-48.96949,373.6823,-89343.89,225.8763,-3067.322,3885.586,-0.003403074,0.001024805
786.224,0,0,28.62251,-115.2936,-15703.89,10.30928,-3077.117,3890.387,-0.00127035,0.0006968136
786.514,0,0,167.2145,164.3304,-32013.89,6.924398,-3078.825,3891.418,-0.001269881,0.0007372201
786.774,0,0,5.686513,-3.053651,-583.8922,16.16838,-3079.566,3891.966,0.0,0.0
787.049,0,0,5.686513,-0.6136513,-23.89221,16.1512,-3079.566,3891.966,0.0,0.0
787.307,1.28603,0.858491,193.5665,236.5544,-11293.89,8.556701,-3080.082,3892.546,-0.0006549224,0.0007364776
787.635,1.290925,0.8662938,72.05452,-29.89365,-31523.89,201.9244,-3092.262,3902.76,-0.004868027,0.00409125
787.938,1.086826,0.9527821,-98.25748,-29.40565,-17593.89,121.7354,-3108.92,3916.97,-0.005398473,0.004702866
788.221,0.9340318,1.273696,-1.145487,-41.60565,24406.11,71.27148,-3124.451,3933.081,-0.004659982,0.005110338
788.503,0.700053,1.42383,-121.1935,-38.18965,56956.11,158.7629,-3138.661,3950.19,-0.004372531,0.005639519
788.804,0.5080733,1.503106,-96.79349,29.64235,80126.11,145.1031,-3150.679,3967.977,-0.003308324,0.005391618
789.096,0.4175354,1.628456,-4.073486,29.64235,102316.1,215.567,-3159.637,3984.603,-0.002817331,0.005716651
789.403,0.4151578,1.64127,-80.68948,-45.99765,112186.1,75.44673,-3167.821,4002.067,-0.002857059,0.006163182
789.691,1.153666,0.9448092,42.28651,162.3784,76696.11,123.6426,-3175.522,4017.823,-0.002774399,0.004855662
789.972,0,0,-88.49748,-515.4537,15376.11,21.34021,-3187.444,4032.097,-0.002977385,0.003630407
790.263,1.22762,0.9227444,54.48652,-81.13365,-38103.89,19.39862,-3195.725,4039.959,-0.003343304,0.002650361
