time,left effort,right effort,x accel,y accel,z gyro,y head,y tail
46819,0,0,-2.05121,-4.072924,19.61539,222,130
47023,0,0,-2.53921,-5.048924,19.61539,238,132
47256,0,0,-2.05121,-5.048924,19.61539,238,132
47460,0,0,-3.02721,-3.096924,19.61539,238,130
47680,0,0,-2.53921,-7.000924,19.61539,222,132
47884,0.4364855,0.3498986,7.22079,15.93508,1349.615,238,132
48093,0.4453352,0.3608905,-14.25121,11.54308,4569.615,222,128
48299,0.4364855,0.3498986,64.80479,-7.488924,10729.62,222,130
48506,0.4364855,0.3498986,6.24479,44.23907,3729.615,224,130
48746,0.4079091,0.3731159,-27.42721,44.23907,7719.615,230,128
48971,0.3814241,0.3988322,-5.46721,-8.952925,9819.615,218,132
49180,0.3294262,0.4668149,12.58879,-0.6569242,-10410.38,84,0
49388,0.3408998,0.4749434,-9.85921,-15.29692,-4950.385,78,0
49597,0.4733477,0.3585176,-9.85921,-17.24892,-7890.385,74,0
49802,0.3329482,0.6600272,-17.17921,0.8070755,-8380.385,68,0
50041,0.4047678,0.8859684,22.83679,20.32708,-11320.38,58,0
50268,0.4161381,0.9280346,-15.71521,-3.096924,-8940.385,52,0
50477,0.5847903,1.274457,53.09279,-8.464924,-15730.38,44,0
50687,0.04382359,0.3586686,9.172791,2.271076,-27140.38,44,0
50893,0,0,-2.05121,-11.39292,369.6154,40,0
51096,0,0,0.87679,-5.048924,19.61539,44,0
51315,0,0,4.29279,-6.512924,-50.38461,44,0
51518,0,0,4.29279,-5.536924,19.61539,44,0
51722,0,0,2.34079,-5.536924,-50.38461,44,0
51926,0,0,3.316791,-5.048924,19.61539,44,0
52116,0,0,3.80479,-5.536924,19.61539,42,0
52350,0,0,1.36479,-5.536924,19.61539,44,0
52553,0,0,2.82879,-6.024924,19.61539,40,0
52757,0,0,111.6528,-239.2889,118319.6,44,0
52966,0,0,0.3887901,-224.6489,123499.6,162,124
53204,0,0,0.87679,-27.98492,369.6154,112,0
53425,0,0,1.36479,-4.072924,-260.3846,112,0
53630,0,0,0.87679,-3.584924,-120.3846,112,0
53835,0,0,0.87679,-6.024924,-50.38461,112,0
54041,0.4453352,0.3608905,28.20479,59.36708,1769.615,112,0
54250,0.4364855,0.3498986,-42.55521,-25.05692,-1240.385,112,0
54476,0.5716599,0.4951109,-9.37121,-56.77692,2679.615,110,0
54683,0.5808946,0.5057516,20.39679,56.92708,5129.615,112,0
54889,0.5596761,0.5219893,28.20479,-2.120924,3729.615,112,0
55098,0.5596761,0.5219893,-29.37921,-125.5849,12969.62,114,0
55307,0.5736585,0.5109612,66.75679,76.93508,13599.62,114,0
55548,0.6473841,0.3741834,47.72479,-68.97693,1699.615,114,0
55775,0.9356735,0.3421372,-56.21921,67.17508,-28050.38,106,74
56015,1.081195,0.3505871,-6.44321,8.615076,-54160.38,170,132
56223,1.080702,0.3416908,127.2688,-19.68892,-72220.38,150,82
56429,0.3848221,0.2827107,7.70879,-4.560925,-73550.38,138,0
56639,0.7136512,1.41989,53.09279,-15.29692,-30500.38,44,0
56867,0.6419297,1.449003,-95.25921,35.45508,51539.62,238,188
57107,0.1282207,1.056347,-71.83521,10.07908,72889.62,238,214
57326,0,0,12.10079,-125.5849,9749.615,NA,NA
57530,0,0,-7.90721,7.639076,-680.3846,18,2
57733,0.4711853,1.51043,-20.10721,21.79107,12409.62,26,0
57959,0.4928421,1.512052,-66.95522,53.99908,57489.62,18,8
58192,0.4928421,1.512052,-83.54721,-22.61692,78349.62,NA,NA
58399,0.4928421,1.512052,-26.45121,185.7591,79049.62,50,8
58606,0,0,-102.0912,-18.22492,85769.62,66,20
58814,0,0,76.51679,-89.47292,8629.615,122,0
59018,0,0,25.27679,7.639076,-50.38461,148,0
59253,0,0,9.66079,4.223076,19.61539,52,0
