time,left effort,right effort,x accel,y accel,z gyro,left line,right line
50.126,0,0,0.5500097,-1.871115,-15.85635,114,98
50.445,0,0,1.526011,0.08088493,-15.85635,114,98
50.736,0,0,0.5500097,0.08088493,-15.85635,114,98
51.024,0,0,0.06200981,0.5688848,54.14365,114,98
51.307,0,0,1.03801,-0.8951149,54.14365,114,98
51.6,0,0,1.03801,0.08088493,-15.85635,114,98
51.877,0,0,1.526011,-2.359115,-15.85635,114,98
52.173,0,0,0.06200981,-1.383115,-15.85635,114,98
52.466,0,0,0.06200981,-2.359115,-15.85635,114,98
52.746,0,0,-0.4259901,0.08088493,54.14365,114,98
53.056,0,0,0.06200981,-0.8951149,-15.85635,114,98
53.337,0,0,2.01401,-1.871115,-15.85635,114,98
53.64,0,0,-2.37799,-0.8951149,54.14365,114,98
53.923,0,0,-0.91399,-0.8951149,54.14365,114,98
54.22,0,0,-0.4259901,0.5688848,-15.85635,114,98
54.53,0,0,1.03801,1.544885,-85.85635,114,98
54.837,0,0,-0.91399,-0.407115,-15.85635,114,98
55.148,0,0,-0.91399,-0.8951149,-85.85635,114,98
55.421,0,0,-1.40199,1.544885,54.14365,114,98
55.729,0,0,0.5500097,-0.407115,-15.85635,114,98
56.023,0,0,-0.4259901,0.5688848,-15.85635,114,98
56.322,0,0,2.50201,-0.8951149,54.14365,114,98
56.594,0,0,0.5500097,-1.871115,-15.85635,114,98
56.906,0,0,-0.91399,-1.383115,-15.85635,114,98
57.202,0,0,0.06200981,0.5688848,-15.85635,114,98
57.5,0,0,2.01401,0.08088493,-15.85635,114,98
57.811,0,0,-1.40199,-0.407115,-15.85635,114,98
58.12,0,0,1.03801,-2.359115,-15.85635,114,98
58.408,0,0,-1.40199,-0.407115,-15.85635,114,98
58.693,0,0,0.5500097,-1.871115,-15.85635,114,98
59.002,0,0,-0.4259901,0.5688848,54.14365,114,98
59.305,0,0,-1.88999,-1.871115,-15.85635,114,98
59.582,0,0,0.5500097,-3.335115,-15.85635,114,98
59.872,0,0,-0.4259901,0.5688848,-15.85635,114,98
60.17,0,0,0.5500097,1.056885,54.14365,114,98
60.469,0,0,0.06200981,0.08088493,54.14365,114,98
60.789,0,0,-0.4259901,-0.8951149,-15.85635,114,98
61.082,0,0,1.526011,0.5688848,-15.85635,114,98
61.355,0,0,1.03801,-0.8951149,-15.85635,114,98
61.647,0,0,1.03801,-0.407115,-15.85635,114,98
61.95,0,0,-0.4259901,2.520885,-15.85635,114,98
62.233,0,0,-0.4259901,-1.383115,-15.85635,114,98
62.517,0,0,0.5500097,-1.383115,-15.85635,114,98
62.81,0,0,-0.91399,0.5688848,-15.85635,114,98
63.105,0,0,-0.91399,-0.8951149,-15.85635,114,98
63.401,0,0,3.47801,1.544885,-15.85635,114,98
63.694,0,0,-1.40199,0.08088493,-15.85635,114,98
63.983,0,0,0.06200981,2.520885,-15.85635,114,98
64.292,0,0,-2.37799,2.032885,54.14365,114,98
64.586,0,0,-2.37799,0.5688848,-15.85635,114,98
64.888,0,0,0.5500097,2.520885,54.14365,114,98
65.2,0,0,-0.4259901,-1.383115,54.14365,114,98
65.483,0,0,-0.91399,-0.8951149,-15.85635,114,98
65.779,0,0,-1.40199,1.056885,54.14365,114,98
66.095,0,0,0.5500097,0.5688848,-15.85635,114,98
66.386,0,0,-2.37799,-0.8951149,-15.85635,114,98
66.67,0,0,1.03801,-0.8951149,-15.85635,114,98
66.971,0,0,1.03801,-1.871115,-15.85635,114,98
67.278,0,0,0.06200981,0.08088493,-15.85635,114,98
67.557,0,0,1.03801,1.544885,54.14365,114,98
67.849,0,0,-0.91399,2.032885,-15.85635,114,98
68.165,0,0,-0.91399,0.08088493,-15.85635,114,98
68.463,0.2341402,0.1677775,-0.91399,-1.871115,-85.85635,114,98
68.761,0.2341402,0.1677775,4.45401,42.04889,334.1436,114,98
69.065,0.3200462,0.2551291,-1.88999,-38.95912,1944.144,114,98
69.35,0.3571734,0.2820302,10.31001,27.89688,1314.144,114,98
69.656,0.3760378,0.3387641,-4.81799,-22.85511,-4075.856,120,100
69.942,0.3305152,0.3686247,14.70201,63.03288,8664.144,118,98
70.21,0.2637259,0.3101645,-6.28199,-32.12712,15664.14,136,102
70.469,0.06116748,0.6273331,-14.57799,41.56089,21334.14,158,108
70.748,0,0,-10.18599,-1.383115,-155.8564,186,112
71.079,0,0,0.06200981,-0.8951149,-85.85635,186,112
71.411,0,0,0.06200981,1.544885,54.14365,186,112
71.655,1.121841,0.003041267,29.34201,126.9609,-31935.86,186,112
72.005,0,0,69.35802,13.25688,-76525.86,154,136
72.334,0,0,8.84601,-1.383115,54.14365,158,138
72.666,0,0,-45.80999,-145.8311,44854.14,158,138
72.992,0,0,-7.74599,-1.871115,-295.8564,158,138
73.367,0.4106335,0.2972504,-29.70599,-48.71912,2154.144,84,70
73.67,0,0,-5.30599,8.864885,-435.8564,78,60
73.954,0.07554908,0.3632462,1.526011,-1.871115,-15.85635,78,58
74.212,0.08755381,0.3655868,17.14201,18.62489,14684.14,78,66
74.482,0.2911377,0.1216527,-9.69799,-79.95112,-2045.856,94,84
74.742,0.4204812,0.06109005,19.58201,12.28088,-4425.856,92,84
75.044,0.2378486,0.3234702,20.07001,-27.73512,-225.8564,100,82
75.342,0.2725706,0.3004616,12.75001,-9.679115,3834.144,80,78
75.595,0.3300918,0.2467921,-14.08999,4.472885,-1695.856,80,76
75.868,0.3367776,0.2556779,22.02201,22.52888,-3235.856,78,76
76.199,0.3850179,0.3165813,8.358009,11.30488,-4145.856,78,76
76.54,0.2743086,0.4701699,-38.48999,-72.63112,15034.14,78,76
76.801,0.375868,0.4350532,-31.16999,-21.87912,33304.14,78,76
77.059,0.5462855,0.3120991,21.04601,-1.383115,-645.8563,78,76
77.3,1.025956,0.3553712,-2.86599,69.86488,-43135.86,78,76
77.587,0.4920722,0.4156332,60.08601,18.13689,-51675.86,108,106
77.899,0.6404521,1.190244,-49.71399,-79.95112,41074.14,108,106
78.158,0,0,33.24601,-115.0871,47794.14,108,106
78.419,0,0,-12.13799,3.008885,-225.8564,108,106
78.736,0.337668,0.1039222,1.526011,10.32889,54.14365,108,106
78.99,0.3879959,0.1927142,2.01401,28.87288,1314.144,108,106
79.245,0.1763192,0.4728158,-9.69799,79.62489,11604.14,108,106
79.564,0.2599767,0.4499897,27.87801,-5.775115,12094.14,108,106
79.819,0.3887383,0.2856803,-13.11399,-60.43112,2294.144,108,106
80.082,0.4976162,0.2378844,-5.30599,2.032885,-8345.856,108,106
80.342,0.5072791,0.2342189,47.39801,-0.407115,-23255.86,108,106
80.629,0.4003045,0.3186164,-11.16199,-37.49512,-8205.856,108,72
80.9,0.4003045,0.3186164,-36.04999,-53.59912,-575.8563,104,78
81.178,0.4257425,0.3003304,44.47001,-23.34312,-16185.86,108,84
81.458,0.4344453,0.2946712,-1.88999,9.352885,-13735.86,84,82
81.736,0.2892366,0.4432469,-36.04999,36.68089,4604.144,74,60
82.044,0.3034298,0.5719851,9.334011,-22.36712,2854.144,66,54
82.361,0.4359201,0.4042112,46.91001,-46.76712,-13805.86,62,58
82.656,0.4426856,0.3983241,-34.09799,12.76889,-15345.86,58,44
82.952,0.4437156,0.8208064,11.28601,39.60888,-17025.86,132,114
83.217,0.6706927,1.350495,-13.11399,78.16089,-35995.86,130,106
83.475,0.4620543,1.399167,18.60601,-140.9511,-39705.86,130,106
83.786,0,0,4.45401,38.63288,-225.8564,130,106
84.045,0.482234,1.519626,0.5500097,14.72089,124.1436,88,0
84.303,0.482234,1.519626,-6.28199,20.08889,-13595.86,24,0
84.562,0.5187019,1.497976,1.526011,8.864885,-24515.86,74,54
84.823,0,0,-1.88999,46.92889,-505.8564,76,56
85.143,0,0,-2.86599,17.64888,-155.8564,76,56
85.399,0.5375051,1.490731,-2.37799,18.13689,-85.85635,76,56
85.653,0.5375051,1.490731,-14.08999,46.92889,-19125.86,76,56
85.895,0.5414248,1.489478,30.31801,-39.93512,-26335.86,76,56
86.227,0,0,-0.4259901,80.11288,-715.8563,76,56
86.559,0.6015034,1.478836,-7.74599,11.79289,-155.8564,76,56
86.823,0.0999118,1.19537,-8.721991,-14.55912,124.1436,76,56
87.14,0.09472099,1.043859,-29.70599,-36.51912,-435.8564,76,56
87.469,0.009459644,0.9055357,-61.42599,-27.24712,-785.8563,76,56
87.726,0.0170857,0.9019345,10.31001,-139.9751,8734.144,76,56
88.043,0,0,57.15801,53.27288,-15.85635,76,56
88.297,0,0,-573.338,766.2409,94484.14,76,56
88.553,0,0,-104.858,-188.7751,83214.14,76,56
88.871,0,0,-154.634,-166.3271,96304.14,76,56
89.13,-0.2586071,0.7542786,-68.258,10.32889,100714.1,76,56
89.389,-0.2586071,0.7542786,14.70201,-39.93512,105404.1,76,56
89.71,0,0,-6.28199,-46.76712,-155.8564,76,56
89.969,0.5892349,0.2771389,16.16601,-2.359115,124.1436,76,56
90.226,0.5892349,0.2771389,33.73401,5.448885,-19335.86,76,56
90.548,0.4977218,0.2614841,-3.84199,6.424885,-12405.86,76,56
90.893,0.2911377,0.1216527,24.46201,-49.69512,-11565.86,76,56
91.168,0.2956729,0.1323353,0.5500097,-8.703115,-3025.856,232,78
91.465,0.3610644,0.2234467,4.942011,-16.02312,544.1437,238,76
91.764,0.4041802,0.2882404,10.79801,-14.55912,4114.144,228,78
92.043,0.4976162,0.2378844,-22.87399,10.32889,-6245.856,144,86
92.354,0.4339243,0.05575392,3.96601,-57.99112,-7505.856,72,0
92.634,0,0,3.47801,5.936885,-85.85635,188,120
92.959,0,0,-63.37799,53.76088,10064.14,234,102
93.246,0.4003045,0.3186164,-22.87399,37.65688,7194.144,224,130
93.532,0,0,15.19001,3.984885,-85.85635,132,74
93.82,0,0,8.84601,-3.335115,-15.85635,64,10
94.118,0,0,9.334011,-2.847115,54.14365,238,72
94.407,0,0,9.82201,-4.311115,54.14365,140,72
94.7,0,0,8.84601,-2.847115,-15.85635,156,60
94.985,0,0,14.70201,-0.8951149,-225.8564,220,76
95.288,0,0,11.77401,-6.751115,-15.85635,142,118
95.585,0,0,9.334011,-4.799115,-15.85635,192,52
95.885,0.3300918,0.2467921,14.21401,-1.871115,-15.85635,238,74
96.181,0.5758897,0.2694972,-6.76999,53.27288,-2745.856,194,72
96.458,0.4257425,0.3003304,46.91001,-10.16712,-25495.86,116,96
96.723,0,0,4.45401,-287.3511,-1555.856,116,96
97.006,0,0,7.87001,-0.8951149,-15.85635,160,106
97.286,-0.2409519,0.6962594,42.51801,6.424885,28824.14,174,98
97.544,0,0,-7.74599,-14.07112,-365.8564,170,142
97.801,0,0,9.82201,-1.383115,-15.85635,214,190
98.104,0,0,7.38201,-3.823115,-85.85635,222,188
98.402,0.2654145,0.594116,-58.49799,4.960885,42754.14,226,190
98.696,0,0,27.87801,-63.35912,11884.14,190,136
98.955,0,0,17.14201,7.400886,-225.8564,190,136
99.211,0.2861508,0.2110076,7.38201,-3.823115,194.1436,190,136
99.528,0.2977456,0.2013886,2.50201,13.25688,1104.144,190,136
99.787,0.4306089,0.1200888,21.04601,35.21688,2574.144,190,136
100.042,0.4306089,0.1200888,9.82201,10.32889,-3585.856,190,136
100.358,0.2215736,0.3445466,10.31001,2.032885,54.14365,190,136
100.617,0.14217,0.5562656,9.334011,89.87289,31274.14,190,136
100.949,0.7806134,0.2398991,66.43001,2.520885,-24165.86,190,136
101.272,0,0,44.47001,17.64888,-51045.86,190,136
101.628,0,0,2.50201,-4.799115,54.14365,190,136
101.883,0,0,6.40601,-3.335115,-15.85635,238,188
102.163,0,0,6.894011,-5.287115,-15.85635,238,200
102.453,0.06798765,0.3774859,-24.33799,13.25688,5444.144,228,204
102.733,0.1332318,0.3780782,-2.37799,-15.53512,7894.144,234,194
103.032,0,0,4.45401,-4.799115,124.1436,180,166
103.324,0.133163,0.3139646,26.90201,-24.31911,3064.144,238,222
103.637,0.133163,0.3139646,-48.73799,64.98489,8664.144,228,234
103.966,0.3453836,0.1664074,-11.64999,-32.12712,-1905.856,236,226
104.266,0.3300918,0.2467921,1.03801,16.18489,-4495.856,230,222
104.569,0.2027791,0.3929896,-46.78599,54.24889,15594.14,234,226
104.858,0.4692731,0.165682,-2.86599,-10.16712,10064.14,228,232
105.123,0.5489942,0.1991113,10.79801,14.72089,-16955.86,194,190
105.406,0.3730736,0.2835989,-0.4259901,9.352885,-4285.856,192,186
105.719,0.2835989,0.3730736,6.894011,-12.11911,6424.144,192,172
105.998,0.2835989,0.3730736,26.90201,-57.50312,13634.14,188,172
106.295,0.4931088,0.2278627,5.43001,75.72089,16854.14,182,188
106.589,0.4927969,0.2516816,-1.88999,-0.8951149,-15485.86,184,200
106.864,0.4194119,0.2912473,23.97401,-16.02312,-15555.86,160,184
107.172,0.3606153,0.3531532,22.51001,-18.46312,-13245.86,162,150
107.476,0.2868653,0.5935945,0.5500097,-14.55912,-6945.856,178,130
107.772,0.2888745,0.6421161,22.51001,-44.32712,-4075.856,174,152
108.087,0.2791045,0.7462187,7.38201,2.520885,614.1437,172,152
108.367,0.2627039,0.8630526,-6.76999,48.39288,404.1436,110,96
108.669,0.2627039,0.8630526,13.23801,45.46489,-1135.856,150,130
108.941,0.2540733,0.8618042,20.55801,-11.63111,-3445.856,238,214
109.241,0.2051571,0.9031978,-24.82599,-60.43112,824.1437,238,190
109.516,0.3681787,1.177099,73.26201,-62.87112,-3095.856,152,130
109.793,0.3213234,1.108152,-62.88999,11.79289,964.1437,228,192
110.123,0.4484457,1.555011,53.25401,246.5209,-645.8563,228,192
110.453,0,0,23.97401,-105.3271,7894.144,228,192
110.775,0,0,15.67801,3.984885,-85.85635,228,192
111.03,-0.2471827,0.7443411,11.28601,3.008885,334.1436,228,192
111.289,-0.1483155,0.8499147,21.53401,-81.90311,20494.14,228,192
111.622,0,0,28.36601,18.13689,264.1436,132,118
111.897,0.08649468,0.999886,16.65401,5.448885,-15.85635,128,106
112.223,0,0,22.02201,-43.83912,14754.14,130,108
112.517,0,0,-6.76999,172.8329,45414.14,122,100
112.813,0,0,8.358009,3.008885,-85.85635,126,126
113.069,0.3272743,0.4072219,33.73401,231.8809,-3375.856,126,126
113.342,0.2790529,0.4611166,19.09401,46.44088,17554.14,124,126
113.659,0.2946712,0.4344453,17.14201,-40.91112,27074.14,156,126
113.971,0.6144486,0.2410647,14.70201,47.90488,-14715.86,160,142
114.27,0.4086643,0.3123073,22.51001,30.82489,-15835.86,162,148
114.534,0.2497544,0.5675139,33.73401,-56.03912,-15.85635,144,152
114.848,0.3361775,0.4516577,3.47801,-2.847115,-3655.856,154,146
115.149,0.3272828,0.445097,28.85401,-10.65512,3694.144,146,142
115.452,0.3272828,0.445097,53.74201,53.76088,2434.144,148,150
115.75,0.3450317,0.4582678,10.79801,7.888885,-7295.856,152,148
116.036,0.3450317,0.4582678,38.12601,-86.78312,12304.14,146,126
116.318,0.3349455,0.474153,52.76601,-13.58311,-5405.856,156,144
